Date,1Y_US,10Y_US,1Y_JP,10Y_JP,1Y_CH,10Y_CH,1Y_EU,10Y_EU,SCE,IXIC,DJI,N225,HSI,STOXX,LTC-USD,BNB-USD,SOL-USD,DOGE-USD,ADA-USD,XRP-USD,BTC-USD,ETH-USD,first_diff_1Y_US,first_diff_10Y_US,first_diff_1Y_JP,first_diff_10Y_JP,first_diff_1Y_CH,first_diff_10Y_CH,first_diff_1Y_EU,first_diff_10Y_EU,log_return_SCE,log_return_IXIC,log_return_DJI,log_return_N225,log_return_HSI,log_return_STOXX,log_return_LTC-USD,log_return_BNB-USD,log_return_SOL-USD,log_return_DOGE-USD,log_return_ADA-USD,log_return_XRP-USD,log_return_BTC-USD,log_return_ETH-USD
2019-01-05,2.57,2.67,-0.173,-0.023,2.4525,3.1513,-0.659218,0.274661,2514.86792,6738.859863,23433.160156,19561.960938,25626.029296875,343.380005,34.936867,6.065543,,0.002319,0.044701,0.355275,3845.19458,155.638596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07525560704351024,6.677283825196562e-05,,0.0017263707351972144,0.0200881202724411,-0.00413470959348737,-0.003251487192294677,0.006812315522569865
2019-01-06,2.57,2.67,-0.173,-0.023,2.4525,3.1513,-0.659218,0.274661,2514.86792,6738.859863,23433.160156,19561.960938,25626.029296875,343.380005,39.298855,6.395979,,0.002328,0.049261,0.368395,4076.632568,157.746201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11765275090753134,0.05304544318513568,,0.00387347159579684,0.09713682019900936,0.03626359460699735,0.058447088987068525,0.013450791464067495
2019-01-07,2.58,2.7,-0.162,0.0,2.4026,3.1507,-0.643783,0.288875,2533.089111,6823.470215,23531.349609,20038.970703,25835.69921875,342.880005,37.806274,6.291411,,0.002285,0.047996,0.364347,4025.248291,151.699219,0.0001,0.0003,0.00011,0.00023,-0.000499,-6e-06,0.000154,0.000142,0.007219265150389218,0.012477420801786689,0.004181438135169909,0.02409200073611875,0.008148621824246766,-0.001457173902565405,-0.038720315902178545,-0.016484141784519516,,-0.018643505523023414,-0.02601501883080802,-0.011049021843616592,-0.012684700473112556,-0.03908768070027884
2019-01-08,2.6,2.73,-0.146,0.014,2.3528,3.1211,-0.644449,0.310582,2526.461914,6897.0,23787.449219,20204.039063,25875.44921875,345.850006,39.479717,6.640054,,0.002276,0.048525,0.365315,4030.8479,150.359634,0.0002,0.0003,0.00016,0.00014,-0.000498,-0.000296,-7e-06,0.000217,-0.002619679397362791,0.01071836282456792,0.010824539800320214,0.008203625261124722,0.0015373863868957788,0.00862462608752718,0.043311978664607995,0.05393472610565965,,-0.003946508082083653,0.01096145495293163,0.0026532848576105057,0.001390154677656451,-0.008869753487189214
2019-01-09,2.59,2.74,-0.144,0.029,2.3777,3.1106,-0.634994,0.301113,2544.344971,6957.080078,23879.119141,20427.060547,26462.3203125,347.700012,38.985535,6.64155,,0.002266,0.052169,0.37089,4035.296387,150.803116,-0.0001,0.0001,2e-05,0.00015,0.000249,-0.000105,9.5e-05,-9.5e-05,0.0070533670658975344,0.008673322847264348,0.003846303107944981,0.01097798119875146,0.022427233622738605,0.005334901131170878,-0.012596366458883025,0.0002252739964730918,,-0.00440335365826994,0.07240931969124248,0.015145527588028881,0.0011030022009837902,0.002945133955355685
2019-01-10,2.59,2.74,-0.147,0.024,2.3627,3.1006,-0.637779,0.267474,2535.099121,6986.069824,24001.919922,20163.800781,26521.4296875,348.880005,33.866009,5.915919,,0.002132,0.044529,0.332652,3678.924561,128.625183,0.0,0.0,-3e-05,-5e-05,-0.00015,-0.0001,-2.8e-05,-0.000336,-0.0036405008280414723,0.004158283885110203,0.005129422947110522,-0.012971562994671674,0.0022312274809688205,0.0033879643397602514,-0.14077885289790643,-0.11569851691061583,,-0.06095565630221631,-0.1583477864355789,-0.10880862419185602,-0.09245928243951122,-0.1590725015966232
2019-01-11,2.58,2.71,-0.148,0.014,2.4065,3.1058,-0.635164,0.248701,2553.831055,6971.47998,23995.949219,20359.699219,26667.26953125,349.200012,32.327629,6.075342,,0.002129,0.044147,0.332904,3687.365479,127.548325,-0.0001,-0.0003,-1e-05,-0.0001,0.000438,5.2e-05,2.6e-05,-0.000188,0.007361868979717633,-0.0020906032246017074,-0.00024879033747348523,0.009668462202561895,0.0054838795224537015,0.0009168204636215458,-0.046489575405827176,0.02659143086707999,,-0.0014081203922558946,-0.008615687739361404,0.0007572616340092382,0.002291770117283188,-0.008407304497189596
2019-01-12,2.58,2.71,-0.148,0.014,2.4065,3.1058,-0.635164,0.248701,2553.831055,6971.47998,23995.949219,20359.699219,26667.26953125,349.200012,32.384426,5.976965,,0.002148,0.043704,0.3288,3661.301025,125.96653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017553766321983702,-0.01632536989385142,,0.008884790735276104,-0.010085343477959727,-0.012404496947073856,-0.0070936851695383805,-0.012479075652898358
2019-01-13,2.58,2.71,-0.148,0.014,2.4065,3.1058,-0.635164,0.248701,2553.831055,6971.47998,23995.949219,20359.699219,26667.26953125,349.200012,30.332897,5.568757,,0.002094,0.040241,0.317863,3552.953125,116.897804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0654447950928513,-0.07074104479369742,,-0.025461064198273257,-0.0825532547160789,-0.03382919084047986,-0.030039431684205063,-0.07471615372863116
2019-01-14,2.57,2.71,-0.148,0.014,2.426,3.1297,-0.630235,0.242607,2535.764893,6905.919922,23909.839844,20359.699219,26298.330078125,347.51001,32.358242,6.159282,,0.002183,0.044059,0.333766,3706.052246,129.068726,-0.0001,0.0,0.0,0.0,0.000195,0.000239,4.9e-05,-6.1e-05,-0.0070992817748597396,-0.009448534480622554,-0.0035949503983393975,0.0,-0.01393151113261215,-0.004851387984343031,0.06463593125586536,0.10078834305962427,,0.04162396511946168,0.09064326841609835,0.04881967629873201,0.04218810156764844,0.09904493917052859
