Date,1Y_US,10Y_US,1Y_JP,10Y_JP,1Y_CH,10Y_CH,1Y_EU,10Y_EU,^HSI,^DJI,^STOXX,^IXIC,^N225,LTC-USD,BNB-USD,DOGE-USD,GC=F,ADA-USD,XRP-USD,ETH-USD,BTC-USD,first_diff_1Y_US,first_diff_10Y_US,first_diff_1Y_JP,first_diff_10Y_JP,first_diff_1Y_CH,first_diff_10Y_CH,first_diff_1Y_EU,first_diff_10Y_EU,log_return_^HSI,log_return_^DJI,log_return_^STOXX,log_return_^IXIC,log_return_^N225,log_return_LTC-USD,log_return_BNB-USD,log_return_DOGE-USD,log_return_GC=F,log_return_ADA-USD,log_return_XRP-USD,log_return_ETH-USD,log_return_BTC-USD
2019-04-25,2.42,2.54,-0.159,-0.031,2.6902,3.4193,-0.597626,0.039123,29549.80078125,26462.080078125,390.1499938964844,8118.68017578125,22307.580078125,71.24811553955078,22.243106842041016,0.0025059999898076,1275.800048828125,0.0692439973354339,0.2893840074539184,154.4593963623047,5210.515625,0.0,0.0001,-1e-05,6e-05,-6.6e-05,-0.00015,-3.81e-05,4e-07,-0.00862701250373384,-0.005087568984391514,-0.002125170962689311,0.002055450919248558,0.0048342456474903435,-0.028514259895126542,-0.03905804187784221,-0.03643890304624977,0.00023521249854262027,-0.04794811961643305,-0.04372491422644192,-0.07100836715913096,-0.047660910406896226
2019-04-26,2.41,2.51,-0.157,-0.045,2.6743,3.4043,-0.596788,0.030487,29605.009765625,26543.330078125,391.010009765625,8146.39990234375,22258.73046875,73.11534881591797,22.869428634643555,0.002519000088796,1284.9000244140625,0.0692190006375312,0.2985019981861114,156.3470916748047,5279.34814453125,-0.0001,-0.0003,2e-05,-0.00014,-0.000159,-0.00015,8.4e-06,-8.64e-05,0.001866593769615846,0.0030657271926544114,0.0022018951625269495,0.0034084988535381315,-0.0021922222566407084,0.025869944605806824,0.027768868780576876,0.005174180214290853,0.0071074422097751645,-0.00036105961217370165,0.031022075274461488,0.012147227272884463,0.013123813423158957
2019-04-27,2.41,2.51,-0.157,-0.045,2.6743,3.4043,-0.596788,0.030487,29605.009765625,26543.330078125,391.010009765625,8146.39990234375,22258.73046875,72.12090301513672,22.34158706665039,0.0025160000659525,1284.9000244140625,0.0701960027217865,0.2967410087585449,158.4349365234375,5268.291015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01369439557180811,-0.023351191944145044,-0.001191667569539718,0.0,0.014015967503970566,-0.005916892914823819,0.013265531566407671,-0.002096608120307488
2019-04-28,2.41,2.51,-0.157,-0.045,2.6989,3.4043,-0.596788,0.030487,29605.009765625,26543.330078125,391.010009765625,8146.39990234375,22258.73046875,69.72679901123047,22.89933967590332,0.0025309999473392,1284.9000244140625,0.0685909986495971,0.2974259853363037,157.29507446289062,5285.13916015625,0.0,0.0,0.0,0.0,0.000246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03375918456101805,0.024658242433907025,0.0059440957052361515,0.0,-0.023130057023511112,0.002305671260833747,-0.007220517360957363,0.0031929256297156855
2019-04-29,2.42,2.54,-0.157,-0.045,2.7224,3.4268,-0.594069,0.056191,29892.810546875,26554.390625,391.3200073242188,8161.85009765625,22258.73046875,67.96038055419922,21.705066680908203,0.0024659999180585,1278.5999755859375,0.0646310001611709,0.2942889928817749,155.20199584960938,5247.3525390625,0.0001,0.0003,0.0,0.0,0.000235,0.000225,2.72e-05,0.000257,0.00967440569890063,0.0004166109915271212,0.0007924982246533464,0.0018947710434763067,0.0,-0.025659838236997874,-0.05356235413917902,-0.026017089243020933,-0.004915203051928451,-0.05946713676243204,-0.010603151720432137,-0.013396029037762242,-0.007175278992262232
2019-04-30,2.39,2.51,-0.157,-0.045,2.6902,3.3869,-0.595395,0.076188,29699.109375,26592.91015625,391.3500061035156,8095.39013671875,22258.73046875,74.28087615966797,22.127836227416992,0.002513000043109,1282.800048828125,0.0703459978103637,0.3094759881496429,162.16603088378906,5350.7265625,-0.0003,-0.0003,0.0,0.0,-0.000322,-0.000399,-1.33e-05,0.0002,-0.0065009435613425605,0.0014495388261839938,7.665754097333764e-05,-0.008176090186001683,0.0,0.08892863531208013,0.019290652856031744,0.018879904202207934,0.0032795166444519316,0.08473171791338995,0.050318252873092745,0.043893224875928685,0.019508686623198813
2019-05-01,2.39,2.52,-0.157,-0.045,2.6902,3.3869,-0.595395,0.076188,29699.109375,26430.140625,391.3500061035156,8049.64013671875,22258.73046875,73.65776824951172,21.95362091064453,0.002521000104025,1281.4000244140625,0.0690139979124069,0.3046959936618805,160.81834411621094,5402.697265625,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0061395955210503,0.0,-0.005667393827094567,0.0,-0.008423919218816408,-0.007904286070858513,0.0031784137533172087,-0.001091977625138958,-0.01911653993488157,-0.015565968962263145,-0.008345261835194849,0.009665964737195984
2019-05-02,2.41,2.55,-0.157,-0.045,2.6902,3.3869,-0.597546,0.05934,29944.1796875,26307.7890625,388.8399963378906,8036.77001953125,22258.73046875,73.77717590332031,23.591930389404297,0.0026110000908374,1269.699951171875,0.0685790032148361,0.3032389879226684,162.12278747558594,5505.28369140625,0.0002,0.0003,0.0,0.0,0.0,0.0,-2.15e-05,-0.0001685,0.008217913383635141,-0.004639991851753267,-0.006434377312069172,-0.0016001233101155714,0.0,0.0016198016094864864,0.071972633229849,0.03507763503809373,-0.009172635638250213,-0.00632294002235345,-0.004793303800563534,0.008078564952593681,0.018809979754905393
2019-05-03,2.41,2.54,-0.157,-0.045,2.6902,3.3869,-0.598881,0.065161,30081.55078125,26504.94921875,390.3699951171875,8164.0,22258.73046875,79.32653045654297,23.7496280670166,0.0027209999971091,1279.199951171875,0.0698579996824264,0.3082219958305359,167.95240783691406,5768.28955078125,0.0,-0.0001,0.0,0.0,0.0,0.0,-1.33e-05,5.82e-05,0.004577081611518659,0.00746642111720921,0.003927056280973759,0.015706981339672476,0.0,0.07252321660878394,0.006662149114977553,0.041266134231405946,0.007454230729596022,0.018478193441278403,0.01629905539337226,0.035326657069481814,0.04666729598003433
2019-05-04,2.41,2.54,-0.157,-0.045,2.6902,3.3869,-0.598881,0.065161,30081.55078125,26504.94921875,390.3699951171875,8164.0,22258.73046875,78.0638427734375,22.88483238220215,0.0026799999177455,1279.199951171875,0.066880002617836,0.3045519888401031,164.02658081054688,5831.16748046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01604564177993366,-0.03709252029520242,-0.015182694907881822,0.0,-0.043564597818216234,-0.01197848134685014,-0.02365215978092019,0.01084163602000144
2019-05-05,2.41,2.54,-0.157,-0.045,2.6902,3.3849,-0.598881,0.065161,30081.55078125,26504.94921875,390.3699951171875,8164.0,22258.73046875,75.98436737060547,23.01995277404785,0.0026529999449849,1279.199951171875,0.0661460012197494,0.3023419976234436,163.45069885253906,5795.70849609375,0.0,0.0,0.0,0.0,0.0,-2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026999362362169488,0.005887002046613486,-0.010125709412124198,0.0,-0.011035569377704793,-0.0072829885761237535,-0.0035170840079819564,-0.006099505040041472
2019-05-06,2.39,2.51,-0.157,-0.045,2.6794,3.355,-0.596237,0.061786,29209.8203125,26438.48046875,386.9500122070313,8123.2900390625,22258.73046875,74.98275756835938,22.20663452148437,0.0025420000310987,1281.699951171875,0.066780000925064,0.302388995885849,172.65321350097656,5746.80712890625,-0.0002,-0.0003,0.0,0.0,-0.000108,-0.000299,2.64e-05,-3.37e-05,-0.02940708817451462,-0.0025109361186085367,-0.008799477552545289,-0.004998995611691835,0.0,-0.013269438619773458,-0.03597025522340354,-0.0427398694174511,0.0019524392904874438,0.009539209826894117,0.00015543526958086123,0.054773627672836146,-0.0084733105601616
2019-05-07,2.37,2.45,-0.161,-0.049,2.6764,3.3551,-0.607901,0.019347,29363.01953125,25965.08984375,381.6400146484375,7963.759765625,21923.720703125,74.69300079345703,20.86417961120605,0.0025359999854117,1283.5,0.0640359967947006,0.2996839880943298,169.7986602783203,5829.50146484375,-0.0002,-0.0006,-4e-05,-4e-05,-3e-05,1e-06,-0.0001166,-0.0004244,0.005231078722020771,-0.018067604930147682,-0.01381772299674826,-0.01983402862848363,-0.015165124487423043,-0.0038717978121223027,-0.062357302176768076,-0.0023631541787166757,0.001403437671793296,-0.04195827320672008,-0.008985707926872128,-0.016671652620897717,0.01428706601857112
2019-05-08,2.37,2.49,-0.162,-0.049,2.6801,3.3426,-0.619226,0.001989,29003.19921875,25967.330078125,382.2300109863281,7943.31982421875,21602.58984375,74.62028503417969,20.75267601013184,0.0025369999930262,1279.4000244140625,0.0646060034632682,0.3007209897041321,170.9481658935547,5982.45751953125,0.0,0.0004,-1e-05,0.0,3.7e-05,-0.000125,-0.0001133,-0.0001736,-0.012329901738111701,8.627498505785077e-05,0.00154475613760237,-0.002569918952175665,-0.014755980105381348,-0.0009740026096532867,-0.0053585916678979195,0.00039424704581252697,-0.003199484212726764,0.008861964177294226,0.0034543439155761135,0.006747003273955023,0.025899955314045275
2019-05-09,2.36,2.45,-0.155,-0.044,2.6618,3.3116,-0.626058,-0.00537,28311.0703125,25828.359375,375.9200134277344,7910.58984375,21402.130859375,74.17713928222656,18.82835578918457,0.0024999999441206,1283.5,0.0616910010576248,0.2965089976787567,170.289306640625,6174.52880859375,-0.0001,-0.0004,7e-05,5e-05,-0.000183,-0.00031,-6.83e-05,-7.36e-05,-0.024153236510324052,-0.005366123631800127,-0.01664615988989509,-0.004128953381632481,-0.00932271773753165,-0.005956380819978435,-0.09731118253243365,-0.014691568345912903,0.0031994842127267375,-0.046169269021749344,-0.014105326085543015,-0.0038615927305600717,0.031601133315537946
2019-05-10,2.36,2.47,-0.156,-0.044,2.685,3.3017,-0.618915,0.021031,28550.240234375,25942.369140625,377.1400146484375,7916.93994140625,21344.919921875,77.1666488647461,19.598108291625977,0.0025220001116394,1285.699951171875,0.0634279996156692,0.3003869950771332,173.1427459716797,6378.84912109375,0.0,0.0002,-1e-05,0.0,0.000232,-9.9e-05,7.14e-05,0.000264,0.008412445301117575,0.0044044174458856365,0.003240119625404948,0.0008024117576354412,-0.0026767213463068326,0.039511347388549105,0.040069025672369134,0.008761572286549318,0.0017125578011547432,0.02776732795125283,0.012994062652596148,0.01661758110458052,0.03255511923946928
2019-05-11,2.36,2.47,-0.156,-0.044,2.685,3.3017,-0.618915,0.021031,28550.240234375,25942.369140625,377.1400146484375,7916.93994140625,21344.919921875,89.22225952148438,21.04944229125977,0.0027540000155568,1285.699951171875,0.0751710012555122,0.3245429992675781,194.3043365478516,7204.771484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145163200495753,0.07144101945527516,0.08800212414632073,0.0,0.16986013671443564,0.07734640973206784,0.11530929946414337,0.12175582015101312
2019-05-12,2.36,2.47,-0.156,-0.044,2.685,3.3017,-0.618915,0.021031,28550.240234375,25942.369140625,377.1400146484375,7916.93994140625,21344.919921875,84.56551361083984,20.830297470092773,0.0026650000363588,1285.699951171875,0.0700860023498535,0.3100740015506744,187.3253173828125,6972.37158203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0536040116890893,-0.010465529280135704,-0.032850334694380166,0.0,-0.07004244205267512,-0.04560705299375398,-0.03657890442151675,-0.03278809012221475
